"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"59",2006-05-01,4068.64,75,615615200032.49,267600608577.48,54.2485333333333,8208202667.09987,0.371396629485956,0.25956843430065
"60",2006-06-01,4080.44,77,668746022028.05,308989521798.2,52.9927272727273,8685013273.09156,0.356592225485956,0.282925958668688
"61",2006-07-01,4128.38,80,684236959483.35,314418233380.8,51.60475,8552961993.54187,0.340229685972207,0.276457161747744
"62",2006-08-01,4144.35,80,681003968234.99,318404698071.37,51.804375,8512549602.93738,0.34258301841836,0.274477479696939
"63",2006-09-01,4183.12,80,710730970185.49,326893096396.52,52.289,8884137127.31862,0.348296149222202,0.292680440257227
"64",2006-10-01,4511.97,86,772414031990.56,360435852538.8,52.4647674418605,8981558511.51814,0.350368230494125,0.297452822261347
"65",2006-11-01,4823.68,87,832992428314.16,384434386336.58,55.4445977011494,9574625612.80644,0.385496752639215,0.326505404347712
"66",2006-12-01,5169.65,91,893082094226.52,417718472510.07,56.8093406593407,9814088947.54418,0.40158538825184,0.338235996339799
"67",2007-01-01,5295.14,92,929107881725.96,437288973373.17,57.5558695652174,10098998714.4126,0.410386042960373,0.35219287300885
"68",2007-02-01,5235.71,98,926585405285.27,437439998718.37,53.425612244898,9454953115.15582,0.361695405200227,0.320643006899055
"69",2007-03-01,5329.72,101,950655465351.6,463643906238.56,52.7695049504951,9412430350.01584,0.353960709725832,0.318559943916663
"70",2007-04-01,5713.51,110,1034127492435.93,508445593409.71,51.941,9401159022.14482,0.344193658595972,0.318007795302309
"71",2007-05-01,6184.55,112,1127129711477.27,584338074279.24,55.2191964285714,10063658138.1899,0.382839549742974,0.350461643963335
"72",2007-06-01,6342.64,117,1137571696103.91,590578183004.87,54.2105982905983,9722835009.43513,0.370949422137605,0.333765739058864
"73",2007-07-01,6373.97,134,1201053640243.3,639674925566.25,47.5669402985075,8963086867.48731,0.292628891573138,0.296547951710764
"74",2007-08-01,6334.54,136,1202254916389.21,612770089902.78,46.5775,8840109679.33243,0.280964611257501,0.29052366736611
"75",2007-09-01,6969.99,137,1328420445028.7,722399502435.56,50.8758394160584,9696499598.74963,0.331636729541228,0.332475646118189
"76",2007-10-01,7299.03,148,1476081502565.7,846377008351.87,49.3177702702703,9973523665.98446,0.313269016709001,0.346046225966162
"77",2007-11-01,7023.94,149,1418322860817.74,795157739988.59,47.1405369127517,9518945374.61571,0.287602121765505,0.323777796144339
"78",2007-12-01,6800.59,153,1397016075332.83,788695351060.16,44.4483006535948,9130824021.7832,0.255863978039099,0.304764892818319
"79",2008-01-01,5926.07,155,1236180742409.56,702255719144.21,38.2327096774194,7975359628.44877,0.182589829429205,0.248162150797561
"80",2008-02-01,6435.75,155,1345546936791.21,799350642660.98,41.5209677419355,8680947979.29813,0.221354334849621,0.282726812094241
"81",2008-03-01,6115.93,155,1277004601395.93,730092391170.26,39.4576129032258,8238739363.84471,0.197029927135845,0.261064335669819
"82",2008-04-01,6831.93,159,1426385207164.54,845415604056.73,42.9681132075472,8970976145.68893,0.238414394353828,0.296934423835177
"83",2008-05-01,7233.06,160,1515717963592.25,930230737444.6,45.206625,9473237272.45156,0.264803686437863,0.321538693035684
"84",2008-06-01,6365.25,160,1380689410147.93,867321697435.66,39.7828125,8629308813.42456,0.200863629139926,0.280197163927694
"85",2008-07-01,5978.48,162,1308676069130.22,835360697772.36,36.9041975308642,8078247340.31,0.16692831038301,0.253202311831672
"86",2008-08-01,5514.5,161,1199892850164.36,734148831475.94,34.2515527950311,7452750622.13888,0.135656901867276,0.222561099884587
"87",2008-09-01,4726.3,160,1047110109725.57,546993736470.61,29.539375,6544438185.78481,0.0801061397027734,0.178065592445514
"88",2008-10-01,3639.08,160,807360922510.52,381676794076.68,22.74425,5046005765.69075,0,0.104661873387271
"89",2008-11-01,3668.97,159,829270949851.45,355437379388.53,23.0752830188679,5215540565.10346,0.00390247085309906,0.112966875748275
"90",2008-12-01,3697.05,158,820685689198.93,351170598715.79,23.3990506329114,5194213222.77804,0.00771929154761163,0.111922113086095
"91",2009-01-01,3746.56,158,831171835829.18,358851496342.73,23.7124050632911,5260581239.42519,0.0114133536548551,0.115173283564717
"92",2009-02-01,3601.81,157,807911546944.19,339686994174.3,22.9414649681529,5145933420.02669,0.0023249211442514,0.109557030063449
"93",2009-03-01,3878,156,847227560388.94,365941413436.77,24.8589743589744,5430945899.9291,0.024929990976304,0.123518938336587
"94",2009-04-01,4582.01,156,981119019898.48,450405830187.99,29.371858974359,6289224486.52872,0.0781313324472111,0.165563437240655
"95",2009-05-01,5032.81,157,1064238765407.35,539401300257.11,32.0561146496815,6778590862.4672,0.109775394936915,0.189536031195666
"96",2009-06-01,4944.52,158,1064783682458.51,545595246187,31.2944303797468,6739137230.75006,0.100796077185322,0.187603315872935
"97",2009-07-01,5358.39,158,1146598144268.1,612302757806.33,33.9138607594937,7256950280.17785,0.131675929423756,0.212969427213815
"98",2009-08-01,5528.42,157,1169964552687.63,620210216649.43,35.2128662420382,7452003520.30338,0.146989601307553,0.222524501601938
"99",2009-09-01,6060,156,1273434817024.99,716177277445.01,38.8461538461538,8163043698.87814,0.189821579291128,0.257356231620132
"100",2009-10-01,6033.94,157,1357572373228.68,778424525933.8,38.4327388535032,8646957791.26548,0.184947926612701,0.28106173452409
"101",2009-11-01,6499.14,156,1466582898063.37,837807996608.6,41.6611538461539,9401172423.48314,0.22300695605216,0.318008451793759
"102",2009-12-01,6779.55,157,1540251520852.08,884591960057.5,43.181847133758,9810519241.09605,0.240934053631952,0.338061127105975
"103",2010-01-01,6577.14,156,1490237022969.54,794877865889.49,42.1611538461539,9552801429.29192,0.228901339135825,0.325436302922855
