"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA","ANO"
"24",2012-10-01,1083.01,34,1281240751091.32,630749151327.37,31.8532352941176,37683551502.6859,0.114702920521226,0.143011104849976,"2012"
"25",2012-11-01,1137.31,34,1356744101156.45,643799991058.41,33.4502941176471,39904238269.3074,0.134992339627773,0.182289145276835,"2012"
"26",2012-12-01,1193.44,34,1429757254866.91,699661000668.9,35.1011764705882,42051683966.6738,0.155965545787082,0.22027174605757,"2012"
"27",2013-01-01,1212.55,35,1475960738929.52,742322958773.58,34.6442857142857,42170306826.5577,0.150161095816953,0.222369868834767,"2013"
"28",2013-02-01,1187.26,35,1447896163830.18,732963533375.62,33.9217142857143,41368461823.7194,0.140981374736735,0.208187364165064,"2013"
"29",2013-03-01,1182.62,35,1434658738212.73,712413714476.5,33.7891428571429,40990249663.2209,0.139297155447996,0.201497797336783,"2013"
"30",2013-04-01,1164.07,35,1404614136809.52,701710614382.52,33.2591428571429,40131832480.272,0.132563908075989,0.186314681319808,"2013"
"31",2013-05-01,1157.53,36,1456696679405.16,683285651017.93,32.1536111111111,40463796650.1433,0.118518967087992,0.192186244243701,"2013"
"32",2013-06-01,1077.02,36,1363322781470.75,615328931878.82,29.9172222222222,37870077263.0764,0.0901073451844133,0.146310249271147,"2013"
"33",2013-07-01,1085.71,36,1387091310576.46,605637388366.76,30.1586111111111,38530314182.6794,0.0931740076405318,0.157988083718248,"2013"
"34",2013-08-01,1102.84,36,1388711701542.49,585336860502.63,30.6344444444444,38575325042.8469,0.099219108661626,0.158784206076377,"2013"
"35",2013-09-01,1155.83,35,1413163677441.03,633705684951.15,33.0237142857143,40376105069.7437,0.129572966925297,0.19063521350321,"2013"
"36",2013-10-01,1208.38,35,1468478368204.95,666702246529.11,34.5251428571429,41956524805.8557,0.148647476326858,0.218588633688108,"2013"
"37",2013-11-01,1178.64,34,1439587241273.69,619203940502.26,34.6658823529412,42340801213.9321,0.150435464704635,0.225385460921187,"2013"
"38",2013-12-01,1146.51,34,1406164389480.66,600257999436.8,33.7208823529412,41357776161.1959,0.138429957597943,0.207998363225852,"2013"
"39",2014-01-01,1066.06,29,1278324545661.6,526861701216.53,36.7606896551724,44080156746.9517,0.177048400105784,0.256150032480537,"2014"
"40",2014-02-01,1083.94,29,1288159390764.58,552052537398.03,37.3772413793103,44419289336.7097,0.184881221381743,0.262148385679554,"2014"
"41",2014-03-01,1157.21,29,1353482988231.24,598092350080.1,39.9037931034483,46671827180.3876,0.216979141677576,0.30198978691491,"2014"
"42",2014-04-01,1193.82,29,1388144871880.49,620816132325.81,41.1662068965517,47867064547.6031,0.233017149894177,0.323130355830267,"2014"
"43",2014-05-01,1158.69,29,1340848851910.5,598860585935.92,39.9548275862069,46236167307.2586,0.21762749601138,0.294284122898569,"2014"
"44",2014-06-01,1195.96,29,1376405237907.31,624928598368.78,41.24,47462249583.0107,0.233954635214678,0.31597025617837,"2014"
"45",2014-07-01,1249.78,29,1430371833740.88,630842301200.03,43.0958620689655,49323166680.72,0.257531952948016,0.34888492838406,"2014"
"46",2014-08-01,1370.13,29,1538785221997.1,687080381316.82,47.2458620689655,53061559379.2104,0.310254550294863,0.415007148658365,"2014"
"47",2014-09-01,1238.99,29,1418463012367.08,578728279219.53,42.7237931034483,48912517667.8303,0.252805099392782,0.341621639940157,"2014"
"48",2014-10-01,1285.28,30,1450111886532.91,593286918637.16,42.8426666666667,48337062884.4303,0.254315297708143,0.331443375906728,"2014"
"49",2014-11-01,1324.26,30,1494417608057.1,583734076034.95,44.142,49813920268.57,0.270822340636497,0.357565053628614,"2014"
"50",2014-12-01,1225.95,30,1380522173560.59,519735778013.95,40.865,46017405785.353,0.229190545092975,0.290414813624338,"2014"
"51",2015-01-01,1195.56,29,1295545220392.5,486626308226.92,41.2262068965517,44673973116.9828,0.23377940431365,0.266653064127677,"2015"
"52",2015-02-01,1308.66,29,1407529612855.82,489031204522.24,45.1262068965517,48535503891.58,0.283325941579361,0.334953269340745,"2015"
"53",2015-03-01,1297.28,29,1386103399744.83,432077119621.22,44.7337931034483,47796668956.7183,0.27834062244511,0.321885245125684,"2015"
"54",2015-04-01,1388.13,29,1495225292734.67,499473975392.4,47.8665517241379,51559492852.9197,0.31813994084113,0.388439588284582,"2015"
"55",2015-05-01,1298.26,29,1408246236381.95,443011902724.92,44.7675862068966,48560215047.6535,0.278769938152629,0.335390343943897,"2015"
"56",2015-06-01,1307.85,29,1425382158268.9,459415380090.52,45.098275862069,49151108905.8241,0.282971099004779,0.345841684132014,"2015"
"57",2015-07-01,1293.24,29,1406476709880.46,414400916287.71,44.5944827586207,48499196892.4297,0.276570790344726,0.334311095126065,"2015"
"58",2015-08-01,1197.09,29,1309441724331.54,359075801226.17,41.2789655172414,45153162907.9841,0.234449662510083,0.275128656573218,"2015"
"59",2015-09-01,1170.83,28,1244032497860.49,313129577351.69,41.8153571428571,44429732066.4461,0.241264110629977,0.262333089784121,"2015"
"60",2015-10-01,1162.26,28,1234386402612.29,319880381096.22,41.5092857142857,44085228664.7246,0.23737570564493,0.256239741211332,"2015"
"61",2015-11-01,1136.17,28,1206743315974.14,313390982177.88,40.5775,43097975570.505,0.225538075999669,0.238777860711501,"2015"
"62",2015-12-01,1097.53,28,1159091981344.13,296837733390.71,39.1975,41396142190.8618,0.208006224351802,0.208676956211988,"2015"
"63",2016-01-01,1047.5,29,1138770811791.66,281678740425.36,36.1206896551724,39267959027.2986,0.168917686298078,0.171035058403335,"2016"
"64",2016-02-01,1109.14,29,1170563064062.35,294140884526.66,38.2462068965517,40364243588.3569,0.195920768146517,0.190425415456752,"2016"
"65",2016-03-01,1275.38,29,1322139693715.97,371502344464.89,43.9786206896552,45591023921.2403,0.268746730613818,0.282873252901942,"2016"
"66",2016-04-01,1335.26,29,1383305881544.84,400865272268.71,46.0434482758621,47700202811.891,0.294978796497733,0.320179015686531,"2016"
"67",2016-05-01,1220.02,29,1272532573202.39,353963053378.88,42.0696551724138,43880433558.7031,0.244494773911522,0.252617460674318,"2016"
"68",2016-06-01,1277.2,29,1313431659840.68,409194236351.4,44.0413793103448,45290746891.0579,0.269544031213497,0.277562151170694,"2016"
"69",2016-07-01,1412.27,29,1425054749320.54,439967505193.11,48.6989655172414,49139818942.0876,0.328715125718179,0.345641994712179,"2016"
"70",2016-08-01,1423.89,29,1438886247182.63,444059576947.39,49.0996551724138,49616767144.2286,0.333805583393047,0.354077939414869,"2016"
"71",2016-09-01,1426.02,27,1422153433505.93,438097909403.6,52.8155555555556,52672349389.1085,0.381013274882535,0.4081230594858,"2016"
"72",2016-10-01,1542.44,27,1515923019784.94,476540511076.31,57.1274074074074,56145297029.0718,0.43579207705228,0.469550262931686,"2016"
"73",2016-11-01,1452.1,27,1445707491357.84,425621188611.8,53.7814814814815,53544721902.1422,0.393284629981203,0.4235530081617,"2016"
"74",2016-12-01,1430.02,27,1415045421641.41,434182879212.49,52.9637037037037,52409089690.4226,0.382895384560245,0.403466695858488,"2016"
"75",2017-01-01,1514.94,27,1380332394216.79,441423854882.24,56.1088888888889,51123422008.0293,0.422852573018025,0.380726655271234,"2017"
"76",2017-02-01,1566.43,27,1440672011077.45,464837870189.25,58.0159259259259,53358222632.4981,0.447080029844344,0.42025433229135,"2017"
"77",2017-03-01,1563.72,27,1438538155280.08,454026687059.76,57.9155555555556,53279190936.2993,0.445804900537696,0.418856471861431,"2017"
"78",2017-04-01,1594.47,27,1454893161391.96,454881553711.86,59.0544444444444,53884931903.4059,0.46027361868509,0.429570417903636,"2017"
"79",2017-05-01,1525.38,26,1392774227777.53,429378249461.25,58.6684615384615,53568239529.905,0.455369999086319,0.4239689724246,"2017"
"80",2017-06-01,1530.02,26,1384014538264.84,418358786731.42,58.8469230769231,53231328394.8015,0.457637217359621,0.418009910847903,"2017"
"81",2017-07-01,1591.47,26,1443817483189.15,461180401568.05,61.2103846153846,55531441661.1211,0.487663200742047,0.458692794728147,"2017"
"82",2017-08-01,1689.93,26,1525881105229.56,484853072743.02,64.9973076923077,58687734816.5215,0.535773181601829,0.514519222849501,"2017"
"83",2017-09-01,1790.82,26,1600932977665.46,505345005576.22,68.8776923076923,61574345294.8254,0.585070520307328,0.565575681944769,"2017"
"84",2017-10-01,1778.26,26,1598391308458.95,487775430577.36,68.3946153846154,61476588786.8827,0.578933394981319,0.563846629415311,"2017"
"85",2017-11-01,1686.73,26,1521166527749.31,466386597911.85,64.8742307692308,58506404913.435,0.534209582792655,0.511311979319669,"2017"
"86",2017-12-01,1769.62,26,1578463983206.08,477165653931.71,68.0623076923077,60710153200.2338,0.574711678196548,0.550290423105865,"2017"
"87",2018-01-01,2006.61,26,2122624481151.47,671206830619.61,77.1773076923077,81639403121.2104,0.690510828754742,0.920473168757394,"2018"
"88",2018-02-01,1969.74,26,2108639093009.72,649831764618.22,75.7592307692308,81101503577.2969,0.672495238725287,0.910959156989059,"2018"
"89",2018-03-01,2005.26,26,2179159862849.12,655623040751.3,77.1253846153846,83813840878.8123,0.689851185507122,0.958933187267215,"2018"
"90",2018-04-01,1963.49,26,2138926605871.28,614439862650.1,75.5188461538462,82266407918.1262,0.669441334801118,0.931563215373271,"2018"
"91",2018-05-01,1719.84,26,1867512045628.07,499735629014.72,66.1476923076923,71827386370.3104,0.55038794422133,0.746924698795912,"2018"
"92",2018-06-01,1615.77,26,1741922018313.59,451766693893.25,62.145,66997000704.3689,0.499536779199214,0.661488028340662,"2018"
"93",2018-07-01,1748.37,26,1902360177778.28,506634045587.97,67.245,73167699145.3185,0.564328404854375,0.770631265679947,"2018"
"94",2018-08-01,1682.93,26,1835176580659.79,443783179130.84,64.7280769230769,70583714640.7612,0.53235280920676,0.724927454877854,"2018"
"95",2018-09-01,1708.33,25,1878759789201.71,469232445665.89,68.3332,75150391568.0684,0.578153159175541,0.805699819383844,"2018"
"96",2018-10-01,1921.89,25,2084080399415.27,560583263688.62,76.8756,83363215976.6108,0.686677861723903,0.950962831703315,"2018"
"97",2018-11-01,2018.14,25,2153391514179.14,557396918225.15,80.7256,86135660567.1656,0.735589186973387,1,"2018"
"98",2018-12-01,1996.17,26,2077469232035.34,536148764332.42,76.7757692307692,79902662770.59,0.685409587639811,0.889754852816597,"2018"
"99",2019-01-01,2260.87,27,2123884343752.33,571689683656.51,83.7359259259259,78662383101.9382,0.773833090991547,0.86781760543072,"2019"
"100",2019-02-01,2193.44,27,2056738024883.45,553615790929.82,81.2385185185185,76175482403.0907,0.742105427099554,0.823830948845414,"2019"
"101",2019-03-01,2153.77,27,2027126789868.11,545645282729.41,79.7692592592593,75078769995.1152,0.723439604370866,0.804433024318382,"2019"
"102",2019-04-01,2177.29,27,2018843166697.73,543415565313.88,80.6403703703704,74771969136.953,0.7345064092758,0.799006533427808,"2019"
"103",2019-05-01,2212.77,27,2020565716718.79,543879227132.18,81.9544444444444,74835767285.8811,0.751200722117086,0.800134952937675,"2019"
"104",2019-06-01,2288.86,27,2083747202639.82,548441122977.29,84.7725925925926,77175822319.9933,0.787003153461322,0.841524300419026,"2019"
"105",2019-07-01,2273.54,27,2044875669028.61,538210156611.2,84.2051851851852,75736135889.9485,0.779794673395693,0.816060077976105,"2019"
"106",2019-08-01,2272.81,27,2025121847734.9,533010961660.98,84.1781481481481,75004512879.0704,0.779451188379511,0.803119613507893,"2019"
"107",2019-09-01,2346.8,27,2086657192684.64,549207030764,86.9185185185185,77283599729.0607,0.814265512142948,0.84343059602725,"2019"
"108",2019-10-01,2428.32,27,2148912098801.06,565592487972.07,89.9377777777778,79589336992.6319,0.852622907374674,0.884212953455374,"2019"
"109",2019-11-01,2425.77,27,2124043173942.74,559047000563.97,89.8433333333333,78668265701.583,0.851423062455134,0.867921652966886,"2019"
