"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"43",2009-05-01,1489.83,29,485128140168.83,245883497297.92,51.3734482758621,16728556557.5459,0.133123681468181,0.0815850585389206
"44",2009-06-01,1453.36,29,477216224720.9,244525632671.08,50.1158620689655,16455731886.9276,0.122432528287584,0.0763559788941996
"45",2009-07-01,1539.16,29,510709765066.16,272727632738.52,53.0744827586207,17610681554.0055,0.147584734015448,0.0984922607088471
"46",2009-08-01,1607.3,29,533789413123.97,282967246142.88,55.4241379310345,18406531487.0334,0.167559923972285,0.113745876430688
"47",2009-09-01,1764.16,28,582724350363.76,327723047277.31,63.0057142857143,20811583941.5629,0.232013393415384,0.159842187317698
"48",2009-10-01,1701.33,28,559084465312.49,320575954880.99,60.7617857142857,19967302332.5889,0.212937020001062,0.143660308435949
"49",2009-11-01,1838.08,28,607999027519.39,347328778931.39,65.6457142857143,21714250982.8354,0.254456900064862,0.177143107504944
"50",2009-12-01,1972.04,34,771057110858.06,442830870008.08,58.0011764705882,22678150319.3547,0.189468174577753,0.195617633246077
"51",2010-01-01,1897.18,34,739343578200.39,394358639961.82,55.7994117647059,21745399358.835,0.170750250025837,0.177740111208959
"52",2010-02-01,1865.01,34,727193911499.94,401542745168.37,54.8532352941176,21388056220.5865,0.162706493242039,0.170891112816836
"53",2010-03-01,1985.64,34,766453035347.17,430349823328.03,58.4011764705882,22542736333.7403,0.19286870588828,0.193022228240429
"54",2010-04-01,1919.26,34,743304701122.47,429506934659.93,56.4488235294118,21861902974.1903,0.176271112624105,0.179973071601472
"55",2010-05-01,1858.2,34,697609760721.1,383998327033.12,54.6529411764706,20517934138.8559,0.161003727196106,0.154213963878331
"56",2010-06-01,1849.96,34,683689731602.1,379511369193.52,54.4105882352941,20108521517.7088,0.158943405284434,0.146366978491414
"57",2010-07-01,1984.9,34,782108695368.26,445088035151.53,58.3794117647059,23003196922.5959,0.192683676978736,0.201847621805185
"58",2010-08-01,1910.6,34,749047040691.96,426564373970.37,56.1941176470588,22030795314.4694,0.174105774304313,0.1832101377242
"59",2010-09-01,2022.55,34,795283613368.41,469415425196.8,59.4867647058824,23390694510.8356,0.202097647849423,0.20927457387096
"60",2010-10-01,2070.74,34,814083559179.03,478478640636.55,60.9041176470588,23943634093.5009,0.214147030485768,0.219872461187833
"61",2010-11-01,2016.82,34,789424783737.84,460010945596.33,59.3182352941176,23218375992.2894,0.200664923995797,0.205971840083372
"62",2010-12-01,2087.3,34,797905490705.32,478877380089.65,61.3911764705882,23467808550.1565,0.218287677434469,0.210752576034111
"63",2011-01-01,2072.37,38,1133406921863.91,677307829487.24,54.5360526315789,29826497943.7871,0.160010019304241,0.332626060569018
"64",2011-02-01,2105.08,38,1162943635281.95,700062385794.57,55.3968421052632,30603779875.8408,0.167327873196829,0.347523793680546
"65",2011-03-01,2185.54,38,1169456812878.36,718030830035.24,57.5142105263158,30775179286.2726,0.185328317226106,0.350808911430987
"66",2011-04-01,2146.63,38,1137183302659.04,722801311039.89,56.4902631578947,29925876385.7642,0.176623404509487,0.334530792230158
"67",2011-05-01,2121.85,38,1109042489795.23,701970054937.2,55.8381578947368,29185328678.8218,0.171079643596667,0.320337123704721
"68",2011-06-01,2067.45,37,1076547424500.54,689608240663.97,55.877027027027,29095876337.8524,0.171410082850082,0.318622640134465
"69",2011-07-01,1984.1,37,1013222367135.59,651045664162.21,53.6243243243243,27384388300.9619,0.152259117665459,0.285819495039094
"70",2011-08-01,1912.02,37,961742838221.94,605936768033.01,51.6762162162162,25993049681.6741,0.135697611120676,0.259152476852855
"71",2011-09-01,1858.29,37,931795085874.53,502477936731.34,50.2240540540541,25183650969.5819,0.123352303869688,0.243639179172432
"72",2011-10-01,1997.58,37,992224053327.15,587636395218.88,53.9886486486486,26816866306.1392,0.155356358345587,0.274942114689533
"73",2011-11-01,1947.84,37,963189122386.14,531884213587.8,52.6443243243243,26032138442.8686,0.143927815954668,0.25990166953047
"74",2011-12-01,2018.94,37,987735739414.38,526567725458.15,54.5659459459459,26695560524.713,0.160264152182942,0.272617113834568
"75",2012-01-01,2138.74,38,1080904510909.27,621530970564.82,56.2826315789474,28444855550.2439,0.174858260296325,0.30614488458157
"76",2012-02-01,2266.53,38,1123767329968.88,657481470845.37,59.6455263157895,29572824472.8653,0.20344733241292,0.327764041382128
"77",2012-03-01,2298,38,1114583459255.48,611702683308,60.4736842105263,29331143664.6179,0.210487774540702,0.323131878931195
"78",2012-04-01,2326.91,38,1080576042043.52,571189365706.49,61.2344736842105,28436211632.7242,0.216955495605658,0.305979211392812
"79",2012-05-01,2146.32,38,1005907927295.95,497407865942.7,56.4821052631579,26471261244.6303,0.176554051568286,0.268318093525488
"80",2012-06-01,2248.51,38,1035299313653.97,512194782394.42,59.1713157894737,27244718780.3676,0.199415913056625,0.28314252654694
"81",2012-07-01,2301.68,38,1060189459887.07,517190819009.26,60.5705263157895,27899722628.6071,0.211311061068514,0.29569662322112
"82",2012-08-01,2244.6,38,1034650333584.84,507878624379,59.0684210526316,27227640357.4958,0.198541171120825,0.282815193856679
"83",2012-09-01,2271.89,37,1020408622401.77,502515819167.58,61.4024324324324,27578611416.2641,0.218383368061172,0.289542062123879
"84",2012-10-01,2259.38,37,1000718531104.24,492649303945.37,61.0643243243243,27046446786.6011,0.215509000041261,0.279342356846842
"85",2012-11-01,2302.66,37,1035584930436.52,491404066829.54,62.234054054054,27988781903.6897,0.225453256468261,0.297403573114811
